ID,Organization,Email,Additional Email,Website,Type,City,Country,Language,Source,Last Verified,Notes,Status,Last Outreach
34,Jewish Community Centre London,info@jcc.org.uk,oldcitizensgolfingsociety@gmail.com,https://www.jcc.org.uk,Cultural Center,London,United Kingdom,English,Official Website,2025-10-06,Major cultural center hosts events,Active,2025-10-06
35,Board of Deputies of British Jews,info@bod.org.uk,representation@bod.org.uk,https://www.bod.org.uk,Professional Union,London,United Kingdom,English,Official Website,2025-10-06,Representative body policy organization,Active,2025-10-06
36,Jewish Community Centre Manchester,info@jccmanchester.org.uk,,https://www.jccmanchester.org.uk,Cultural Center,Manchester,United Kingdom,English,Official Website,2025-10-06,Community center cultural programs,Active,2025-10-06
37,Holy Blossom Temple,info@holyblossom.org,,https://www.holyblossom.org,Religious Community,Toronto,Canada,English,Official Website,2025-10-06,Reform congregation largest in Canada,Active,2025-10-06
38,Hillel at University of Toronto,info@hillelontario.org,,https://www.hillelontario.org,Youth Organization,Toronto,Canada,English,Official Website,2025-10-06,Student organization very active,Active,2025-10-06
39,Federation CJA Montreal,info@federationcja.org,,https://www.federationcja.org,Charity Foundation,Montreal,Canada,English/French,Official Website,2025-10-06,Major federation community services,Active,2025-10-06
40,Jewish Community Centre of Greater Vancouver,info@jccgv.com,,https://www.jccgv.com,Cultural Center,Vancouver,Canada,English,Official Website,2025-10-06,Community center recreational programs,Active,2025-10-06
41,Centre Communautaire Juif de Paris,accueil@ccjp.fr,,https://www.ccjp.fr,Cultural Center,Paris,France,French,Official Website,2025-10-06,Major cultural center hosts events,Active,2025-10-06
42,Consistoire de Paris,info@consistoire.org,contact@consistoire.org,https://www.consistoire.org,Religious Community,Paris,France,French,Official Website,2025-10-06,Orthodox community educational programs,Active,2025-10-06
43,Communauté Juive de Lyon,info@cjl-lyon.org,,https://www.cjl-lyon.org,Religious Community,Lyon,France,French,Official Website,2025-10-06,Active community cultural programs,Active,2025-10-06
44,The Great Synagogue,info@greatsynagogue.org.au,admin@greatsynagogue.org.au,https://www.greatsynagogue.org.au,Religious Community,Sydney,Australia,English,Official Website,2025-10-06,Historic Orthodox synagogue,Active,2025-10-06
45,Jewish Community Centre of Sydney,info@jccsydney.org.au,,https://www.jccsydney.org.au,Cultural Center,Sydney,Australia,English,Official Website,2025-10-06,Community center recreational programs,Active,2025-10-06
46,Temple Beth Israel,info@tbi.org.au,,https://www.tbi.org.au,Religious Community,Melbourne,Australia,English,Official Website,2025-10-06,Reform congregation educational programs,Active,2025-10-06
47,Jewish Care Victoria,info@jewishcare.org.au,,https://www.jewishcare.org.au,Social Services,Melbourne,Australia,English,Official Website,2025-10-06,Social services organization,Active,2025-10-06
48,Asociación Mutual Israelita Argentina (AMIA),info@amia.org.ar,abc@gmail.com,https://www.amia.org.ar,Cultural Center,Buenos Aires,Argentina,Spanish,Official Website,2025-10-06,Major Jewish community center,Active,2025-10-06
49,Templo Libertad,info@templolibertad.org.ar,,https://www.templolibertad.org.ar,Religious Community,Buenos Aires,Argentina,Spanish,Official Website,2025-10-06,Reform congregation historic synagogue,Active,2025-10-06
50,Congregação Israelita Paulista,info@cip.org.br,central.relacionamento@cip.org.br,https://www.cip.org.br,Religious Community,São Paulo,Brazil,Portuguese,Official Website,2025-10-06,Reform congregation educational programs,Active,2025-10-06
51,Federação Israelita do Estado de São Paulo,info@fisesp.org.br,,https://www.fisesp.org.br,Charity Foundation,São Paulo,Brazil,Portuguese,Official Website,2025-10-06,Jewish federation community services,Active,2025-10-06
52,Temple Israel,info@templeisrael.co.za,executive-director@templeisrael.co.za,https://www.templeisrael.co.za,Religious Community,Johannesburg,South Africa,English,Official Website,2025-10-06,Reform congregation active community,Active,2025-10-06
53,South African Jewish Board of Deputies,info@sajbd.org,,https://www.sajbd.org,Professional Union,Johannesburg,South Africa,English,Official Website,2025-10-06,Representative body policy organization,Active,2025-10-06
54,European Jewish Congress,info@eurojewcong.org,,https://www.eurojewcong.org,International Organization,Brussels,Belgium,English,Official Website,2025-10-06,Represents European Jewish communities,Active,2025-10-06
55,Federation of Jewish Communities of Russia,info@feor.ru,,https://www.feor.ru,International Organization,Moscow,Russia,Russian,Official Website,2025-10-06,Major Jewish federation represents Russian Jewish communities,Active,2025-10-06
56,Jewish Community Center of Moscow,info@jccmoscow.ru,,https://www.jccmoscow.ru,Cultural Center,Moscow,Russia,Russian,Official Website,2025-10-06,Major cultural center educational programs,Active,2025-10-06
57,Jewish Community of St. Petersburg,info@jeps.ru,editor@jeps.ru,https://www.jeps.ru,Religious Community,St. Petersburg,Russia,Russian,Official Website,2025-10-06,Active community cultural programs,Active,2025-10-06
58,Association of Jewish Organizations and Communities of Ukraine (Vaad),info@vaadua.org,vaadua.office@gmail.com,https://www.vaadua.org,International Organization,Kyiv,Ukraine,Ukrainian/Russian,Official Website,2025-10-06,Represents Ukrainian Jewish communities,Active,2025-10-06
59,Comunidad Judía de Madrid,info@cjmadrid.org,secretaria@cjmadrid.org,https://www.cjmadrid.org,Religious Community,Madrid,Spain,Spanish,Official Website,2025-10-06,Jewish community center educational programs,Active,2025-10-06
60,Comunidad Israelita de Barcelona,info@cibarcelona.org,,https://www.cibarcelona.org,Religious Community,Barcelona,Spain,Spanish,Official Website,2025-10-06,Active community cultural center,Active,2025-10-06
61,Comunità Ebraica di Roma,info@romaebraica.it,dpo-google@google.com,https://www.romaebraica.it,Religious Community,Rome,Italy,Italian,Official Website,2025-10-06,Historic Jewish community educational programs,Active,2025-10-06
62,Comunità Ebraica di Milano,info@comunitaebraica.it,,https://www.comunitaebraica.it,Religious Community,Milan,Italy,Italian,Official Website,2025-10-06,Large community cultural activities,Active,2025-10-06
63,Nederlands-Israëlitisch Kerkgenootschap,info@nik.nl,,https://www.nik.nl,Religious Community,Amsterdam,Netherlands,Dutch,Official Website,2025-10-06,Dutch Jewish community educational programs,Active,2025-10-06
64,Comunidad Judía de México,info@cjcmexico.org,,https://www.cjcmexico.org,Religious Community,Mexico City,Mexico,Spanish,Official Website,2025-10-06,Major Jewish community cultural center,Active,2025-10-06
65,Comunidad Judía de Chile,info@cjchile.org,,https://www.cjchile.org,Religious Community,Santiago,Chile,Spanish,Official Website,2025-10-06,Chilean Jewish community educational programs,Active,2025-10-06
66,Jewish Community of Warsaw,info@jewish.org.pl,,https://www.jewish.org.pl,Religious Community,Warsaw,Poland,Polish,Official Website,2025-10-06,Polish Jewish community cultural programs,Active,2025-10-06
67,Magyarországi Zsidó Hitközségek Szövetsége,info@mazsihisz.hu,elnok@mazsihisz.hu,https://www.mazsihisz.hu,Religious Community,Budapest,Hungary,Hungarian,Official Website,2025-10-06,Hungarian Jewish community educational center,Active,2025-10-06
68,Židovská obec v Praze,info@kehilaprag.cz,,https://www.kehilaprag.cz,Religious Community,Prague,Czech Republic,Czech,Official Website,2025-10-06,Czech Jewish community historic synagogue,Active,2025-10-06
